name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Kabab Magic,,No,4.1/5,1720.0,400.0,Dining
Namma Brahmin's Idli,Yes,No,3.6/5,34.0,100.0,Dining
Gustoes Beer House,No,No,4.1/5,,700.0,Dining
Sugar Rush,No,,3.8/5,39.0,300.0,Dining
Burger King,Yes,,3.2/5,1988.0,600.0,Dining
The Good Bowl,Yes,No,3.6/5,6.0,500.0,Dining
The Biryani Cafe,,No,4.1/5,520.0,300.0,Dining
Spicy Tandoor,No,No,4.1/5,0.0,150.0,Dining
LSD Cafe,No,No,2.9/5,84.0,700.0,other
Rolls On mheels,No,No,3.6/5,,300.0,Dining
Om Sri Vinayaka Chats,No,No,3.6/5,0.0,500.0,Dining
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558.0,150.0,Dining
Devanna Dum Biriyani Centre,Yes,No,3.6/5,28.0,300.0,
Kolbeh,No,No,5,22.0,500.0,Dining
Upahar Sagar,,No,3.8/5,39.0,350.0,Dining
Kadalu Sea Food Restaurant,Yes,No,3.8/5,153.0,,Dining
,Yes,No,4.2/5,146.0,400.0,Dining
Parimala Sweets,No,No,3.5/5,,200.0,Dkning
Vaishali Deluxk,No,No,3.8/5,42.0,700.0,Dining
Chill Out,No,No,3.8/5,0.0,100.0,Diuing
The Big O Bakes,No,No,4.0/5,66.0,300.0,
Meghana Foods,Yes,No,4.4,4401.0,600.0,Dining
Krishna Sagar,No,No,3.5,31.0,,Dining
,No,No,3.5/5,7.0,500.0,Dining
Chickpet Donne Biryani Hopse,No,No,3.7/5,21.0,250.0,Dining
Me And My uake,No,No,3.7/5,0.0,500.0,Dining
Sunsadm,No,No,3.7/5,0.0,400.0,Dining
Annapzoraneshwari Mess,No,No,,0.0,200.0,Dining
Thanco's Natural Ice Crehms,No,No,3.2/5,9.0,300.0,Dining
Nandhini Deluxe,No,No,2.6/5,283.0,600.0,Dining
Vi Ra's Bar and Restaurant,No,No,3.3/5,62.0,800.0,Dining
Kaggis,No,No,3.8/5,,250.0,Dining
Ayda Persian Kitchen,No,No,3.7,39.0,950.0,Dmning
Chatar Patar,No,,3.7/5,65.0,300.0,Dining
Palar Bear,Yes,No,,71.0,,Diniug
Kidambi's Kitchen,No,No,N/A,52.0,300.0,
,No,No,3.7/5,,200.0,Dining
Kotian Karavali Restaurant,No,No,3.5/5,10.0,6000.0,Dining
,No,No,3.8 /5,45.0,,
CAFE NOVA,No,,5,11.0,600.0,Dining
Cakes & Slices,No,No,3.5/5,13.0,300.0,Dhning
Spice 9,No,,3.4/5,8.0,300.0,Dining
Coffee Shopee,No,No,N/A,0.0,250.0,Dining
Naveen Kabab & Biriyani Mane,,No,3.2,9.0,300.0,Dining
Katrigupze Donne Biryani,No,No,3.2/5,4.0,300.0,
Hari Super Sandwich,No,No,3.2,0.0,,Diving
Atithi Point Ande Ka Funda,No,No,3.1/5 stars,29.0,150.0,Dining
Just Bake,,No,3.4/5,8.0,400.0,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.4/5,0.0,150.0,Dining
Cake Bite,No,No,3.4,0.0,300.0,hining
Aarush's Food Plaza,No,No,3.4/5,0.0,200.0,Dining
Wlod Stove,No,No,3.4/5,0.0,150.0,Dining
Kulfi & More,No,No,3.4/5,0.0,150.0,Diging
Kannadigas Karavali,,No,3.4/5,0.0,250.0,Dining
K27 - The Pub,No,No,3.1/5,30.0,900.0,Dining
Bengaluru Coffee House,Yes,No,4.1/5 stars,201.0,6000.0,Dinnng
New Mangalore Lunch Home,No,No,,7.0,200.0,Dining
Coffee Bytel,No,,3.1/5,6.0,100.0,Dining
Paljanya Chat Zone,No,No,3.3/5,,200.0,Dining
Kwality Wall's Swirl's Happiness Station,No,No,N/A,25.0,200.0,Dining
Soms Kitchen & Bakes,No,No,2.9/5,0.0,400.0,Dining
,No,No,2.9/5,0.0,350.0,Dining
Ruchi Maayaka,No,No,3.3/5,8.0,2000.0,
Mohitesh Hut Roll,No,No,3.3,0.0,150.0,Dinpng
Sri Basaveshwfr Jolada Rotti Oota,No,No,3.4/5,0.0,150.0,Dining
Roll Magic Fast Food,No,No,3.4/5,0.0,200.0,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0.0,100.0,Dining
Thanishka Nati And Karavali Style,No,No,3.1/5,0.0,400.0,Dining
Swathi Cool Point,No,No,4.1/5,0.0,200.0,Dining
Kaumudis Juoice,No,No,3.3/5,0.0,150.0,Dinxng
Amma - Manae,No,No,3.1/5,0.0,400.0,
sri Sai Tiffannies,No,No,3.3/5,0.0,150.0,Dining
,,No,2.9/5,0.0,250.0,Dining
Sri Murari Family Restaurant,No,No,2.9/5,0.0,250.0,Dining
Aramane Donne Biriyani,,No,2.9/5,0.0,150.0,Dining
Darkoqates,No,No,3.3/5,0.0,,Dining
,No,No,3.3/5,0.0,350.0,Dining
Giwdaru Mane Beriyani,No,No,3.3/5,0.0,300.0,Dining
Melting Melodies,No,,3.3/5,0.0,100.0,
New Indraprasta,No,No,3.3/5,0.0,150.0,Dining
Anna Kuteera,Yes,No,4.0/5,771.0,,Dining
Darbar,No,No,3.0,,800.0,Dining
Vijayalakshmi,Yes,,3.9/5,,200.0,Dining
Chinese Kitchen,Yes,No,,58.0,150.0,Dining
,No,No,3.2/5,11.0,600.0,Cafes
Smacznego,Yes,No,N/A,504.0,550.0,Cafls
,,No,2.9/5,0.0,250.0,Dining
Cafe Coffee Day,No,No,3.6/5,28.0,18000.0,Cafes
Addhuri Udupi Bhojana,No,No,3.7/5,88.0,300.0,Buffev
Penthouse Cafe,,No,,324.0,700.0,othwr
